 作者  MrSatan (老大!!!!!!!!)                                    看板  C_Chat 
 標題  Re: [推投] 最喜歡日本女聲優前三名 "積分制"投票結果                     
 時間  Wed May  6 21:00:17 2020                                               
───────────────────────────────────────

共307人投/總票數865票/出現162位女聲優
有修正格式/名字

第十名
東山奈央 第一名票: 7票 總票數:24票 總積分: 47分  28歲(並列)
 種田梨沙 第一名票: 9票 總票數:21票 總積分: 47分  31歲
https://i.imgur.com/gEKQjfO.jpg

第九名
佐倉綾音 第一名票: 9票 總票數:28票 總積分: 53分  26歲
https://i.imgur.com/KKojdZ7.jpg

第八名
林原惠   第一名票:14票 總票數:21票 總積分: 54分  53歲
https://i.imgur.com/vUYjk1C.jpg

第七名
悠木碧   第一名票: 8票 總票數:31票 總積分: 60分  28歲
https://i.imgur.com/nJdGcL3.jpg

第六名
水瀨祈   第一名票:14票 總票數:29票 總積分: 66分  24歲
https://i.imgur.com/UYkQZdQ.jpg
第四名
花澤香菜 第一名票:12票 總票數:38票 總積分: 76分  31歲
https://i.imgur.com/XUVbmIH.jpg

第三名
高橋李依 第一名票:15票 總票數:38票 總積分: 77分  26歲
https://i.imgur.com/jm2lR5y.jpg

第二名
茅野愛衣 第一名票:15票 總票數:38票 總積分: 82分  32歲
https://i.imgur.com/p7hGMn2.jpg

第一名
早見沙織 第一名票:26票 總票數:71票 總積分:149分  28歲
https://i.imgur.com/kDwsz6q.jpg


第一 第一 第二 第三 總票 票數  總 
 RK 聲優     名票 票率 名票 名票  數 /人數 積分
1 早見沙織   26 8.5%  26   19   71 23.1%  149  28歲(1991/05/29)
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.165.71.229 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588772452.A.987.html
推 h2243398: 沖田:土方去死吧                                       05/06 21:41
推 kratos0993: dio                                                 05/06 21:42
推 chifeng: 7414                                                   05/06 21:42
→ yyes5210: 勇者義彥的天女                                        05/06 21:43
推 peter0318: DIO                                                  05/06 21:43
推 MAZX: 我知道有個開鋼彈的會自爆的                                05/06 21:43
→ Yosoro: 善子                                                    05/06 21:43
推 wai0806: 7414啦                                                 05/06 21:43
推 xrayxrayxray: 洗內，卡蚯蚓                                      05/06 21:44
推 wayneshih: 亡國的阿基師                                         05/06 21:46
推 qwer8355: 石上                                                  05/06 21:50
→ laechan: 迷途貓                                                 05/06 21:50
推 oeegg: 給我去死兩次                                             05/06 21:50
推 melzard: 即死外掛太無敵了  這小說的主角                         05/06 21:51
推 Tiamat6716: 凱留                                                05/06 21:52
→ aha8877: 洗內 卡丘硬                                            05/06 21:52
→ EvilCerberus: 洗咧!!                                            05/06 21:53
推 SiaSi: 683T吉普莉爾                                             05/06 21:54
推 kurenaiz: https://i.imgur.com/MEHHW0B.jpg                       05/06 21:54
推 sqe123456z: 釘宮配的角色                                        05/06 21:54
→ Corydoras: 中山 海 陳慶能                                       05/06 21:58
推 MutsuKai: https://www.youtube.com/watch?v=55WqkMHAa1I           05/06 21:58
推 higameboy: https://www.youtube.com/watch?v=PKM-ZEIi3O0          05/06 22:01
→ abc55322: 你已經死了                                            05/06 22:01
推 takase790314: 彩虹人                                            05/06 22:02
→ supersusu: 爆豪                                                 05/06 22:03
推 idieh: 閰魔愛                                                   05/06 22:10
→ leamaSTC: 真女神轉生手遊的偶像 動不動就叫人去死 特別是肥宅...   05/06 22:12
推 st2913sbck: 魯魯修 真的會死                                     05/06 22:14
推 keyboking:  https://i.imgur.com/KeMwFa5.jpg  “去死”我只服乙   05/06 22:15
→ keyboking: 骨憂太                                               05/06 22:15
→ qazxswptt: 拳四郎                                               05/06 22:17


--------------------------------------------------------


 作者  hahaha021225 (安安你好)                                   看板  C_Chat 
 標題  [問題] 想補遊戲王Zexal，有正版管道嗎？                                 
 時間  Wed May  6 21:42:43 2020                                               
───────────────────────────────────────


RT

要有漢字字幕

不然看不懂QQ

遊戲王手遊

可能今年會有

Zexal改版

所以想補個動畫

之前用某個網看

但被抄家了

想看看正版管道的

感謝大家

Orz


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.192.196 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588772565.A.7A1.html
→ skbb2553: 正版管道嗎.....bilibili或愛奇藝@@?                    05/06 21:45
→ hahaha021225: 愛奇藝只到50幾集，畢哩之前有用過，但後來鎖IP看不  05/06 21:48
→ hahaha021225: 了才轉到某個現在被抄家的網                        05/06 21:48
→ JasperChang: 愛**不好吧                                         05/06 21:50
→ KimJongUn: z2好看嗎？實在太長了 沒真的追 z1其實也是跳著看       05/06 21:51
→ dickec35: b站那個不是正版                                       05/06 21:53
→ skbb2553: 居然不是正版wwwwwww我以為bilibili有錢買遊戲王播放     05/06 21:55
→ k25351735: 如果懶直接補z2也可以，z1主要看快斗，z2看鯊魚         05/06 21:59
→ k25351735: z1撇除遊馬早期新手階段，有些日常回其實不錯           05/06 22:00
→ dickec35: b站只有初代&次元的黑暗面有買正版，其他都不是          05/06 22:04
推 Tatsuko: Z2好看！而且有把故事好好的做個完結，雖然一度不時出現   05/06 22:09
→ Tatsuko: 追悼ED XD                                              05/06 22:09
→ hahaha021225: 講好看沒用啊，還沒看完QQ                          05/06 22:09
推 rainnawind: B站有放番劇區的才是正版 沒有的通常就是沒人買        05/06 22:11
→ rainnawind: 放著也沒人會來關切的那些民間版                      05/06 22:12
推 chejps3105: Z2超好看，雖然Z1前期有點無聊，但是早期有登場的角    05/06 22:13
→ chejps3105: 色之間的性格和關係反而要補Z1才會完整                05/06 22:13
→ dickec35: 番劇區不一定就是正版喔，有些是迷版被放上去而已        05/06 22:20


--------------------------------------------------------


 作者  hahaWenZuhah (哈哈文組哈哈)                               看板  C_Chat 
 標題  [問題] 請問遊戲人生4DX值得去電影院嗎？                                 
 時間  Wed May  6 21:50:10 2020                                               
───────────────────────────────────────

如題
威秀影城現在上映了
少女與戰車
遊戲人生
我英
刀劍
四部4DX影片

想請問遊戲人生劇場版的4DX版本值得進去看嗎？
那個效果如何？謝謝各位。

然後我英和刀劍如果沒看完動畫跑去看劇場版會不會看不懂？

感謝各位回答。



對了現在電影院都是梅花座，不必擔心一個人去看了，嘻嘻

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.59.199 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773012.A.84D.html
推 Makimywife: 值得 去看 絕對不會後悔                              05/06 21:50
推 biemelo157: 必須看˙                                            05/06 21:51
我記得劇情是動畫前傳對吧？沒看小說會跟不上嗎？
※ 編輯: hahaWenZuhah (101.12.59.199 臺灣), 05/06/2020 21:51:57
→ JasperChang: 秀泰沒有梅花座啊 看地區吧                          05/06 21:52
推 LOVEMS: 特效還是有啦 印象683T吉 最終戰都很不錯                  05/06 21:53
推 randyhgmac: 這部絕對值得大螢幕啦，                              05/06 21:53
→ randyhgmac: 不過4DX評價記得是還好                               05/06 21:53
推 foget: 賣的時候梅花座 但是情侶進去還是會坐旁邊阿                05/06 21:53
推 s1310306: 遊戲人生小說沒看不會看不懂 我也是純動畫黨             05/06 21:53
→ s1310306: 但個人不推4DX 特效太多反而會出戲 跟少戰爽片不一樣     05/06 21:53
少戰我4DX是看很爽就是。
原來遊戲人生4DX效果不好啊。
※ 編輯: hahaWenZuhah (101.12.59.199 臺灣), 05/06/2020 21:55:52
推 max860115: 4DX沒試過 不過電影院大螢幕看絕對值得                 05/06 21:55
推 lou3612: 我有看過遊戲人生4DX                                    05/06 21:56
→ lou3612: 戲場國中妹很多 大推                                    05/06 21:57
推 PONANZA: 4DX唯有戰車                                            05/06 21:57
推 qwefghzxc: 我記得好像有噴水?                                    05/06 22:02
推 zmcx16: 遊戲人生劇場版做超讚                                    05/06 22:05
→ CYL009: 不會 上次4DX看了感覺沒有加成 還是乖乖看數位就好         05/06 22:07
推 s1310306: 4DX適合少戰這種動作場面多的爽片 我刷了好幾次          05/06 22:08
→ OldYuanshen: 不會                                               05/06 22:09
推 zxc8424: 我英你動畫人物都認識就可以看了,他進度是在目前動畫之後  05/06 22:10
→ zxc8424: 一定會有一些地方不太清楚 但是不影響                    05/06 22:11
推 s1310306: 遊戲人生文戲吃重的場面 正投入時椅子在那邊反應         05/06 22:11
→ s1310306: 每個人感受不同 我是會被弄到出戲 XD                    05/06 22:12
→ zxc8424: 刀劍是重映 當年時間點第二季看完就沒問題了              05/06 22:13
推 saber154: 在日本看過不推薦                                      05/06 22:14


--------------------------------------------------------


 作者  kalen123 (歸來舊茶)                                       看板  C_Chat 
 標題  [情報] Mortal Kombat 11 DLC消息                                        
 時間  Wed May  6 21:52:41 2020                                               
───────────────────────────────────────

https://youtu.be/VEUrIoCHMew

https://youtu.be/9rQJ5OPq-5Y

You're under arrested!

官方真懂玩家想要什麼~

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 118.168.226.135 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773169.A.0E3.html
※ 編輯: kalen123 (118.168.226.135 臺灣), 05/06/2020 21:53:09
推 ga787540: FRIENDSHIP回歸啦XD                                    05/06 22:05
推 bbtbbt77: cool!風神好帥啊！不過可惜兩個機器人還是沒正式登場     05/06 22:20


--------------------------------------------------------


 作者  battlecat (eastern undefeated)                            看板  C_Chat 
 標題  [BGD] 北澤育美是BGD的賣肉擔當嗎？                                      
 時間  Wed May  6 21:52:56 2020                                               
───────────────────────────────────────

如題，聽說育美在2019投票終於不是墊底了
https://i.imgur.com/OtO0etc.jpg

但還是沒有改變育美不人氣的事實
感覺很沒有記憶點，想到育美就只會想到可樂餅

所以，育美就是BGD裡負責「賣肉」的嗎？




話說真的不好想育美人氣怎麼救耶
複製鶇模式感覺可行
但武士道可能怕粉絲不開心自己的推跟育美湊成對
要不要乾脆育美X里美琳啊，感覺可以欸（

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.100.58 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773178.A.40E.html
推 adk147852: 誰                                                   05/06 21:53
推 redDest: 盜版星空凜                                             05/06 21:56
推 abc55322: 先學化妝                                              05/06 22:01
→ CYL009: 對啊 賣肉 結果還是沒人氣 只能當各種卡池的守門員         05/06 22:07


--------------------------------------------------------


 作者  aOwOa (里見)                                              看板  C_Chat 
 標題  [閒聊] 楊過不會一陽指是不是很可惜                                      
 時間  Wed May  6 21:53:02 2020                                               
───────────────────────────────────────


看到主角外掛的相關討論

想到楊過幾乎學遍了五絕的武功耶

東邪：彈指神通、玉蕭劍法

西毒：蛤蟆功

北丐：打狗棒法

中神通：全真劍法

雖然全真劍法比較弱一點但可以拿來搭玉女劍

如果楊過再學一陽指就身懷五絕武功了

沒有學到一陽指是不是很可惜


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.83.234.136 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773184.A.238.html
推 a125g: 會一陽指 姑姑會撐不住==                                  05/06 21:53
推 hogs: 沒差 夠強了                                               05/06 21:54
→ LOVEMS: 郭也沒學西毒武功 算平衡吧                               05/06 21:55
→ melzard: 他都自創黯然銷魂掌了 好了啦                            05/06 21:56
→ qazws08: 彈指跟一陽指屬性重疊                                   05/06 21:57
推 yao0101: 要讓姑姑銷魂 那不只要一陽指 還得會六脈神劍             05/06 21:58
推 jupto: 一陽指是點穴 彈指是暗器 沒重疊啊                         05/06 22:02
推 Algernon69: 西毒有學啊 蛤蟆功跟逆經脈                           05/06 22:06
推 mick5988: 上面是說郭靖一樣五缺一                                05/06 22:11
推 staristic: 全真劍法絕對不弱，是駕駛員的問題                     05/06 22:12
→ aOwOa: 郭靖會桃花島武功嗎？                                     05/06 22:16
→ aOwOa: 看到另一篇回了，沒有彈指神通的印象XD                     05/06 22:19
推 utcn92: 某作品有一部五絕神功，永遠都被輕鬆擋下來                05/06 22:20


--------------------------------------------------------


 作者  f222051618 (  珍  珠  奶  茶  )                           看板  C_Chat 
 標題  [ＣＧ] 千枝 泳裝                                                       
 時間  Wed May  6 21:53:33 2020                                               
───────────────────────────────────────

以前的我喜歡小學生 現在的我讓她(ry

@necosin_Theta
https://i.imgur.com/4X2xkCq.png

https://i.imgur.com/eijBl27.png

@niboboboshi
https://i.imgur.com/kqosY0k.png

https://i.imgur.com/sHQNm5m.png

https://i.imgur.com/cVRQoR2.png

https://i.imgur.com/JnMlIyw.png

https://i.imgur.com/ImGnCvW.png

https://i.imgur.com/0t37Z6D.png

https://i.imgur.com/kw67gF3.png

壞孩子千枝
https://i.imgur.com/m1NU8g3.png @nokinogi

https://i.imgur.com/bGKab9r.png @melo_Pan2

--
╬═══哄﹏窖════════╬  魔 法 少 女    ┼╰  ╭┬╮│─┼
║     芍 岷岷 炎               ║| | | | ┼┐ |│ │ │ ││││  │
║        ●  ●                  ║ ∕  ∕ / ┘∕└ │□╰╯╯│ □
║            "       cd        ║
║      ◤◢/哈B       ▄      ║  高町  なのは
╬═══ ●gg════ ═══╬    With  ユーノ　スクライア    ψLL

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 61.58.68.34 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773218.A.852.html
推 AbukumaKai: 讓千枝小學生                                        05/06 21:55
推 zxc88585: 61.58.68.34                                           05/06 22:04
推 wingkauzy: 讓千枝小學六年生                                     05/06 22:10
推 sam09: 千枝是合法的，這裡應該沒有FBI吧                          05/06 22:10
推 justatree: 危                                                   05/06 22:22


--------------------------------------------------------


 作者  ClawRage (猛爪Claw)                                       看板  C_Chat 
 標題  Re: [閒聊] 焰之鍊金術師為什麼這麼稀有？？                              
 時間  Wed May  6 21:54:32 2020                                               
───────────────────────────────────────




※ 引述《than09138 (tony wu)》之銘言
: ※ 引述《fraternity (duhamanity可以原諒他阿1)》之銘言：

: 說到鍊金術就好奇想問
: 明明斯卡的鍊成技術只到分解階段
: 基本上就是不完全鍊成
: 結果這種半吊子鍊成能力
: 可以幹掉一堆國家級鍊金術士
: 很好奇
: 這個設定是不是有點不合理


我比較好奇
七個人造人,幾乎都有超殺的能力
變身,變硬,變尖
黑洞,神速,超級影子
嗯,六個



除了那個憤怒拉斯,能力是啥?視力4.0
根本就白眼的次等品
而且體內的賢者之石還只有一份
導致他會變老又不能回血


結果大總統戰績全人造人最屌
這設定是不是更不合理


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.71.9.146 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773274.A.379.html
推 newtypeL9: 色慾一點都不色才不合理                               05/06 21:55
→ winda6627: 你是在反串嗎?!廢文END。                              05/06 21:55
推 melzard: 一樓講得太精準了 這個色慾有夠失敗                      05/06 21:55
→ higameboy: 人造人都不能受孕嗎 大總統老婆無套0風險               05/06 21:56
→ qazws08: 可能小人本來沒實體，色不起來                           05/06 21:57
→ ClawRage: 人做的可以吧,霍恩海姆也是被塞石頭的人,                05/06 21:57
推 prereality: 其他人太仰賴不死之身                                05/06 21:59
推 supersusu: 大總統的能力是軍刀砍子彈跟砲彈都不會鈍，不會斷       05/06 22:01
→ supersusu: 色慾不色、怠惰不懶                                   05/06 22:02
推 funami087: 被放個沒什麼用的能力 所以他很憤怒                    05/06 22:02
推 greatloser: 父親大人明明把傲慢分出來結果還是很傲慢              05/06 22:05
推 Winter1525: 那個眼睛不算超殺能力 我也是笑笑的ㄏ                 05/06 22:06
→ greatloser: 另外推色慾不夠色                                    05/06 22:06
→ Winter1525: 色慾已經是這部漫畫看起來最色的了吧==                05/06 22:06
推 supersusu: 人造人除了兩個智障，其他都蠻傲慢的                   05/06 22:08
推 sadlatte: 強欲都比色慾色                                        05/06 22:09
推 a0501k: 可能小人的色的定義跟人類不一樣吧                        05/06 22:10
推 rbull: 牛媽只會畫強悍的女人 根本不會畫癡女 色女                 05/06 22:11
→ gf833910: 難道你們看到庫拉多尼肚子就會很餓嗎                    05/06 22:11
推 xsdferty035: 能從爆炸的碎石中看到逃出來的路不夠OP嗎==換句話說   05/06 22:18
→ xsdferty035: 普通人根本扁不到他,連子彈都砍                      05/06 22:18
→ xsdferty035: 其他人造人大概沒一個碰的到大總統                   05/06 22:19


--------------------------------------------------------


 作者  jiss555 (jisssssss)                                       看板  C_Chat 
 標題  [閒聊] 推薦的鬧鐘APP                                                   
 時間  Wed May  6 21:54:38 2020                                               
───────────────────────────────────────

事情是這樣的 我本來是用加藤惠的鬧鐘APP
但換手機之後才發現資料帶不過來 官方也早停止支援了 不能引繼
所以我那一千多天的檔就掰了
開新檔看到好感度50%的燻雞惠非常不習慣
好啦鬧鐘APP講紀錄這種東西好像怪怪的....

總之各位有沒有推薦的鬧鐘APP?
最好是那種能互動的
伊莉雅鬧鐘那種只有一張圖的先不用 不過之前好像有看到要出LIVE 2D的了?

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.173.143.172 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773280.A.0B0.html
推 aya16810: 格裏德曼 有上田麗奈                                   05/06 21:57
推 Fice: https://youtu.be/zrZD6dl9pww                              05/06 21:58
我就知道會有這個
※ 編輯: jiss555 (1.173.143.172 臺灣), 05/06/2020 22:01:30
→ shampoopoo: 唯一推薦國動鬧鐘                                    05/06 22:00
推 ttcml: 國棟鬧鐘，缺點是可能會被全家人打                         05/06 22:01
推 x5723: 伊莉雅鬧鐘已經出2.0版了                                  05/06 22:13
推 zzooazsx: 噬血狂襲的                                            05/06 22:19
→ smilefun1996:  https://i.imgur.com/ggB4nmZ.jpg                  05/06 22:20
→ smilefun1996: 我個人是用一色 跟噬血的 但IOS系統的話 噬血就不    05/06 22:22
→ smilefun1996: 推薦了                                            05/06 22:22


--------------------------------------------------------


 作者  qwer338859 (溫莎公爵)                                     看板  C_Chat 
 標題  Re: [閒聊] LOR有機會幹掉爐石嗎?                                        
 時間  Wed May  6 21:55:03 2020                                               
───────────────────────────────────────

會搶走爐石課群的不是LOR反而是TFT吧

我真的很意外TFT可以紅那麼久

前陣子連FAKER都跑去打TFT了

現在卡牌桌遊類的前兩名都是爐石和TFT

LOR感覺就是私生子 如果仿效TFT直接綁客戶端說不定更多人會想玩玩看

好歹是用LOL世界觀去做的卡牌遊戲

拳頭另一款瓦羅蘭和LOR比起來勢頭真的差超多的

外國人真的超級愛射擊遊戲 台灣反而幾乎沒啥人討論

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.132.216.241 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773305.A.AF4.html
※ 編輯: qwer338859 (220.132.216.241 臺灣), 05/06/2020 21:56:29
推 crash121: 亞洲就不愛5vs5的那種競技射擊遊戲 都是小眾             05/06 21:58
推 rainnawind: 其實TFT才是私生子 不得爸爸寵 沒宣發沒資源           05/06 21:59
推 rainnawind: 今年一月LoR進入ob的時侯Riot的CEO還很高興的發推特    05/06 22:02
→ rainnawind: 說我們終於有第二款遊戲了 然後就有人tag tft的負責人  05/06 22:02
→ rainnawind: Mort說「啊你們去年開始不就有TFT嗎？』Mort只好回了   05/06 22:02
→ rainnawind: 一張哭哭的meme                                      05/06 22:02
→ rainnawind: LoR製作期程大概超過兩年多 tft不到半年就ob了         05/06 22:03
→ qwer338859: 結果TFT是LOR好幾倍紅                                05/06 22:04
推 Wardyal: 阿 TFT就抄襲遊戲 本來就不用甚麼設計吧                  05/06 22:08
推 crash121: 不說都忘了TFT是抄來的==                               05/06 22:09
推 yuxds: 射擊遊戲還在封測阿 LOR上市前 台灣的討論度也不高吧        05/06 22:16
→ raincole: TFT是私生子+1 TFT的動畫和美術跟LoR差那麼多            05/06 22:21
→ raincole: 明顯成本有差，而且TFT實況人數跟爐石差不多，Riot卻沒   05/06 22:22
→ raincole: 辦什麼大型比賽，可見就是不怎麼重視                    05/06 22:22


--------------------------------------------------------


 作者  yj80039 (最i發廢文)                                       看板  C_Chat 
 標題  [閒聊] 水戶洋平加入諸神黃昏能當第幾拳豪？                              
 時間  Wed May  6 21:56:08 2020                                               
───────────────────────────────────────

在三井率領不良少年軍團進攻的時候洋平豪不畏懼的挺身而出 在接下鐵男一套組合拳後
洋平一打三高速解決了三個嘍囉 這段劇情也顯示出了他實力驚人

那麼如果洋平加入在兼一作品中登場的不良少年集團-諸神黃昏裡面的話他能成為第幾拳
豪？

我感覺洋平肯定比技之三人眾(變強前)強

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.253.164.187 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773371.A.361.html
推 Julian9x9x9: 阿帕帕去鴨川拳擊館能得多少拳王                     05/06 21:57
→ devilkool: 可以在系際盃投五中八                                 05/06 21:58
※ 編輯: yj80039 (111.253.164.187 臺灣), 05/06/2020 21:59:05
噓 getter5566: 頂多只能幫三人眾吹喇叭的等級                        05/06 22:02


--------------------------------------------------------


 作者  Gray5228 (Gray5228)                                       看板  C_Chat 
 標題  [閒聊] 有類似公主連結那種很香的手遊嗎？                                
 時間  Wed May  6 22:01:22 2020                                               
───────────────────────────────────────

公連玩超過一年了，
最近連續保底玩到心很累，
想要換換其他很香的手遊，

最好是跟公連一樣養生，
不要少女咖啡槍
不要夢境連結
不要命運的法則

還有推薦其他養生又香的手遊嗎？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 39.9.167.194 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773684.A.E08.html
推 Tiamat6716: 少女前線                                            05/06 22:01
推 Ikaros2601: bgd                                                 05/06 22:01
推 Katsuyuki118: 艦B                                               05/06 22:02
推 a123444556: BGD 養生拿活動卡                                    05/06 22:02
→ SOSxSSS: F                                                      05/06 22:02
推 dolphintail: 音遊隨便抓一個吧                                   05/06 22:03
推 ClawRage: 戰鬥女子學園                                          05/06 22:03
→ KimJongUn: https://www.youtube.com/watch?v=cjFRHeasyRU 簽下去   05/06 22:03
推 kingsiu: 陸版公連                                               05/06 22:03
推 qqq3892005: 要香又要鹹魚 公主真的是很優的了                     05/06 22:03
推 lou3612: 艦C                                                    05/06 22:04
推 ZMTL: 最近跳艦B覺得不錯                                         05/06 22:05
→ xga00mex: 艦B 方舟                                              05/06 22:06
→ gincod: 公主連結                                                05/06 22:07
推 xrayxrayxray: CGSS                                              05/06 22:08
→ SiaSi: 少前                                                     05/06 22:08
推 akito7039: GBF 慢慢農還蠻養生的 加個A躺團也沒什麼公會戰壓力     05/06 22:08
→ SiaSi: Arcaea                                                   05/06 22:08
推 loverxa: 碧藍航線 養生香香                                      05/06 22:10
推 kevin50263: F                                                   05/06 22:12
推 y1896547: プリンセスコネクト！Re:Dive                           05/06 22:13
推 er2324: 艦B                                                     05/06 22:13
推 cvb58129: F                                                     05/06 22:13
推 s1188112000: 日版公主連結                                       05/06 22:15
推 akila08539: f                                                   05/06 22:15
推 wangyc: AGA                                                     05/06 22:15
推 arcanite: 白貓 每次活動協力直接開加倍卷農一小時畢業             05/06 22:16
推 ilovenatsuho: 戰女                                              05/06 22:17
→ CYL009: 你還是會回到F的                                         05/06 22:20
推 yeyun: F                                                        05/06 22:20
推 monkeydieboy: F 真的 心態調整一下 鹹魚又養身                    05/06 22:21


--------------------------------------------------------


 作者  chordate (封侯事在)                                       看板  C_Chat 
 標題  Re: [閒聊] 楊過不會一陽指是不是很可惜                                  
 時間  Wed May  6 22:01:38 2020                                               
───────────────────────────────────────

※ 引述《aOwOa (里見)》之銘言：
: 看到主角外掛的相關討論
: 想到楊過幾乎學遍了五絕的武功耶
: 東邪：彈指神通、玉蕭劍法
: 西毒：蛤蟆功
: 北丐：打狗棒法
: 中神通：全真劍法
: 雖然全真劍法比較弱一點但可以拿來搭玉女劍
: 如果楊過再學一陽指就身懷五絕武功了
: 沒有學到一陽指是不是很可惜

郭靖其實也差不多是五絕缺一，缺西毒而已。

東邪：射鵰時已經自學彈指神通，神鵰時盡得東邪真傳
南帝：透過一陽指學習九陰點穴篇，射鵰時已經讓西毒誤認為是一陽指
神鵰時很可能已經會了
北丐：降龍十八掌
中神通：全真派的內功和輕功郭靖都會，還會一人北斗陣。


--
我服食豹胎、鹿胎，再加上潭中的海狗之腎，覺得痛楚稍減，想不到這豹鹿雙胎混以海狗
腎，正是驅毒的良劑，如是長期服食，體內毒發的間歇也漸漸加長。初時每日發作一兩次
，到後來數日一次，進而數月一發，最近五、六年來居然一次也沒再發，想是已經好了。
——《民明書房》刊 あなたの知らない神雕  侠侶 第三十九回 より  抜  粋

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.32.7.252 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773700.A.433.html
推 HappyKH: 神功蓋世還是被小兵淹死，慘。                           05/06 22:02

金庸設定再強的武林高手也會被小兵圍死，
所以這也沒辦法。

推 AlisaRein: 一陽指是作樣子，照這標準楊過也會:)                   05/06 22:06

一陽指在射鵰時學樣子，但是郭靖有照九陰去研習，
按照郭靖學彈指神通和北斗陣的歷程，他神鵰時會的可能性很高。

→ AlisaRein: 郭靖不會蘭花拂穴手                                   05/06 22:06

神鵰實有說郭靖已經盡得黃藥師之傳，會的可能性大於不會的可能性。

→ alwaysstrong: 郭靖有盡得東邪真傳嗎？東邪武功跟他向性很差吧...   05/06 22:09

原文：
郭靖平時出手總為對方留下餘地，這時氣惱這長身道人劍招無禮，才使出了彈指神通的妙
技。這門功夫是黃藥師的絕學，郭靖在島上住了幾年，已盡得其傳，他內力深厚，使將出
來自是非同小可。

推 s2500205: 可惜郭靖沒找城裡的幼童來傳授武功 16年後每個都是大小   05/06 22:10
→ s2500205: 武青年期 雖然草包 打尋常士兵還是夠用                  05/06 22:10
推 Keyouka: 要照前後語意吧，盡得其傳應該只有指彈指                 05/06 22:13

黃藥師教幾年只有教彈指神通而已也太詭異了。
要知道郭靖學降龍掌學空明掌都是不到一個月就學完了。

推 XIUXIAN: 會用不代表適合他用啊，連彈指神通都傳了，除非是那種     05/06 22:15
→ XIUXIAN: 很複雜動腦的武功，不然多半都教了吧。                   05/06 22:15
※ 編輯: chordate (114.32.7.252 臺灣), 05/06/2020 22:16:32
推 leamaSTC: 呃上下文還是同一句 連句號都沒有 沒爭議吧              05/06 22:16
→ XIUXIAN: 別忘了彈指神通和劈空掌這兩招是黃藥師的最大絕技。       05/06 22:16
推 XIUXIAN: 老實說郭靖學的種類比楊過還多，但也沒因此頭痛過。       05/06 22:20
→ XIUXIAN: 除了七怪教他的時期。                                   05/06 22:20


--------------------------------------------------------


 作者  BigMacGCB (尊重友善包容)                                  看板  C_Chat 
 標題  [閒聊] 求推薦類似望月けい LAM風格的繪師                                
 時間  Wed May  6 22:02:37 2020                                               
───────────────────────────────────────


各位大大晚安

小弟我還蠻喜歡這兩位繪師的風格

也不知道該怎麼形容 應該算是色彩對比強烈吧

貼個幾張看一下

望月けい
https://imgur.com/rYtl0cn

https://imgur.com/zcGG43v

https://imgur.com/z0CTKUW

https://imgur.com/KP7ZfO1

LAM
https://imgur.com/1ze978x

https://imgur.com/isiMC91

https://imgur.com/eHJaNcM


希望大家能推薦一些類似這樣風格的繪師


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.143.2.9 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/C_Chat/M.1588773759.A.7FC.html
